dien_tich,so_phong_ngu,so_phong_tam,quan_huyen,loai_bds,gia_tien
261.9,6,6,Quan 1,NhaO,89.169
78.7,4,2,Quan 8,NhaO,10.389
268.6,4,2,Tan Binh,NhaO,33.895
40.9,3,3,Nha Be,CanHo,1.257
79.3,5,3,Quan 6,NhaO,11.62
74.7,1,1,Quan 1,CanHo,8.308
199.2,3,1,Quan 7,NhaO,27.632
112.9,2,1,Quan 12,CanHo,3.949
170.2,4,4,Binh Chanh,NhaO,10.374
83.4,3,2,Quan 10,CanHo,6.198
51.5,2,1,Quan 4,CanHo,4.255
284.8,4,2,Quan 4,NhaO,57.125
123.9,2,1,Quan 12,CanHo,3.942
134.5,4,3,Quan 6,CanHo,9.682
155.9,6,5,Nha Be,NhaO,10.529
46.5,2,2,Binh Chanh,CanHo,1.25
147.6,4,3,Tan Phu,NhaO,14.236
257.6,3,2,Quan 6,NhaO,34.421
137.0,3,2,Quan 8,NhaO,15.249
51.6,5,5,Quan 4,NhaO,11.403
138.2,1,1,Quan 1,CanHo,15.784
172.1,6,5,Quan 12,NhaO,14.616
269.3,6,4,Quan 7,NhaO,38.134
77.1,4,4,Tan Phu,CanHo,4.383
132.7,2,2,Binh Chanh,CanHo,2.958
203.3,3,1,Quan 6,NhaO,28.446
93.3,3,1,Binh Thanh,NhaO,12.227
99.0,2,2,Quan 10,CanHo,8.743
141.8,4,4,Quan 4,NhaO,24.635
52.2,1,1,Quan 8,CanHo,3.054
125.0,4,4,Hoc Mon,CanHo,3.14
30.3,4,2,Go Vap,NhaO,3.166
89.4,3,1,Tan Phu,NhaO,8.229
43.6,6,5,Binh Chanh,NhaO,2.299
136.9,4,3,Binh Tan,CanHo,5.984
125.5,2,2,Quan 3,CanHo,12.631
132.7,4,3,Hoc Mon,NhaO,6.562
139.6,2,1,Binh Chanh,CanHo,3.466
297.1,3,2,Quan 11,NhaO,50.35
173.4,3,3,Quan 5,NhaO,36.837
274.5,4,4,Quan 1,NhaO,84.624
108.4,1,1,Phu Nhuan,CanHo,9.786
58.0,3,3,Quan 11,CanHo,4.091
82.1,6,5,Quan 3,NhaO,20.999
44.5,3,3,Binh Chanh,CanHo,1.205
75.5,4,4,Quan 8,NhaO,10.27
52.5,1,1,Nha Be,CanHo,1.548
129.3,5,4,Quan 10,NhaO,24.379
139.9,2,2,Quan 8,CanHo,8.63
62.5,2,1,Binh Chanh,NhaO,3.331
59.4,3,2,Hoc Mon,NhaO,2.987
275.5,4,3,Quan 1,NhaO,83.929
225.3,3,3,Quan 5,NhaO,47.797
201.9,4,3,Binh Thanh,NhaO,32.827
123.7,1,1,Quan 3,CanHo,11.248
34.6,4,3,Hoc Mon,CanHo,0.776
91.4,4,3,Quan 7,NhaO,14.234
48.7,3,3,Binh Chanh,CanHo,1.156
73.5,1,1,Quan 10,CanHo,4.813
93.6,3,2,Thu Duc,CanHo,4.615
264.9,3,2,Quan 12,NhaO,18.378
110.4,1,1,Nha Be,CanHo,2.983
101.9,4,3,Phu Nhuan,CanHo,11.3
148.7,2,1,Phu Nhuan,NhaO,26.664
205.1,3,2,Quan 8,NhaO,24.296
120.6,3,3,Quan 8,CanHo,7.024
117.2,2,2,Binh Thanh,CanHo,10.33
158.5,5,5,Quan 8,NhaO,22.884
80.0,3,2,Hoc Mon,CanHo,1.672
97.2,2,2,Quan 12,CanHo,2.972
162.0,5,4,Quan 10,NhaO,34.817
114.1,4,3,Phu Nhuan,CanHo,10.121
99.7,1,1,Quan 7,CanHo,5.943
147.8,3,3,Hoc Mon,NhaO,7.692
124.5,2,2,Binh Tan,CanHo,4.999
113.0,1,1,Tan Phu,CanHo,4.917
209.9,4,3,Quan 1,NhaO,74.348
252.0,3,1,Binh Thanh,NhaO,39.069
253.3,3,3,Go Vap,NhaO,27.016
100.4,3,3,Quan 4,CanHo,7.058
50.9,2,2,Quan 1,CanHo,7.251
94.7,4,3,Tan Phu,CanHo,4.965
283.5,4,4,Phu Nhuan,NhaO,63.108
39.9,2,1,Binh Tan,CanHo,1.59
54.5,2,1,Hoc Mon,CanHo,1.167
46.9,2,2,Binh Tan,CanHo,1.657
128.2,2,2,Thu Duc,CanHo,6.182
244.2,4,2,Quan 6,NhaO,36.457
210.6,3,2,Tan Binh,NhaO,30.579
108.4,4,2,Hoc Mon,NhaO,5.278
58.9,1,1,Quan 4,CanHo,4.571
195.2,5,3,Go Vap,NhaO,20.229
84.1,3,2,Quan 7,CanHo,5.612
72.7,2,2,Hoc Mon,CanHo,1.852
182.0,3,2,Binh Thanh,NhaO,26.738
92.5,3,3,Quan 12,CanHo,3.593
90.8,5,3,Binh Chanh,NhaO,5.459
223.3,4,3,Tan Phu,NhaO,18.553
52.3,3,2,Binh Tan,CanHo,1.966
182.4,4,2,Hoc Mon,NhaO,9.188
95.8,1,1,Quan 4,CanHo,6.776
288.1,4,2,Quan 8,NhaO,34.728
56.4,1,1,Quan 11,CanHo,3.308
217.7,6,4,Thu Duc,NhaO,23.059
217.7,6,4,Quan 3,NhaO,51.432
226.5,6,4,Binh Tan,NhaO,20.079
227.1,3,2,Quan 7,NhaO,31.006
81.7,3,3,Quan 4,CanHo,5.825
144.8,5,4,Binh Chanh,NhaO,9.146
116.5,2,1,Quan 6,CanHo,6.896
77.7,3,3,Quan 10,CanHo,6.678
81.6,3,3,Quan 1,CanHo,12.186
99.8,2,1,Quan 1,CanHo,11.056
113.6,2,1,Quan 5,CanHo,8.569
83.9,1,1,Quan 12,CanHo,3.036
83.5,4,3,Quan 4,CanHo,6.167
105.2,4,3,Quan 7,CanHo,9.135
172.6,4,3,Quan 12,NhaO,11.119
196.2,6,6,Quan 1,NhaO,61.486
154.5,2,1,Hoc Mon,NhaO,6.262
198.9,3,3,Nha Be,NhaO,12.583
190.3,3,1,Quan 12,NhaO,11.695
85.2,2,1,Quan 7,CanHo,5.261
34.3,2,1,Quan 12,CanHo,1.218
54.1,2,2,Go Vap,CanHo,2.419
285.1,6,4,Quan 6,NhaO,48.676
196.5,5,3,Quan 7,NhaO,28.269
111.2,2,1,Go Vap,CanHo,5.005
90.1,4,4,Thu Duc,CanHo,5.607
215.4,4,3,Quan 4,NhaO,38.789
202.9,6,6,Binh Tan,NhaO,16.276
205.2,6,6,Quan 4,NhaO,46.065
34.6,1,1,Quan 4,CanHo,2.402
132.8,3,1,Quan 12,NhaO,7.696
178.9,5,3,Quan 4,NhaO,34.674
99.0,2,2,Quan 5,CanHo,8.283
38.9,2,1,Quan 1,CanHo,5.036
62.5,4,2,Hoc Mon,NhaO,2.836
292.8,5,5,Thu Duc,NhaO,28.413
65.3,3,2,Binh Tan,CanHo,2.398
153.2,6,5,Quan 5,NhaO,36.962
54.6,2,1,Binh Chanh,CanHo,1.434
149.9,4,3,Tan Phu,NhaO,13.375
89.4,4,2,Thu Duc,NhaO,7.439
124.3,2,1,Quan 5,CanHo,10.545
132.1,3,2,Thu Duc,CanHo,6.732
125.8,6,4,Go Vap,NhaO,12.557
70.5,2,1,Binh Thanh,CanHo,5.15
117.3,3,2,Quan 7,CanHo,8.13
52.8,3,3,Quan 10,CanHo,3.918
130.0,4,4,Binh Thanh,NhaO,22.643
100.6,6,5,Quan 12,NhaO,7.707
211.5,3,3,Quan 8,NhaO,23.444
117.2,3,2,Quan 6,NhaO,17.07
119.9,5,4,Quan 10,NhaO,24.3
206.1,3,3,Tan Binh,NhaO,31.045
295.5,2,1,Quan 3,NhaO,64.335
210.3,2,1,Quan 3,NhaO,46.785
40.6,1,1,Quan 5,CanHo,3.204
108.9,3,3,Quan 1,CanHo,13.182
264.1,4,4,Quan 5,NhaO,59.83
67.2,3,3,Phu Nhuan,CanHo,6.429
190.7,4,4,Hoc Mon,NhaO,8.696
243.2,4,4,Quan 6,NhaO,39.038
35.1,6,4,Quan 11,NhaO,6.039
94.4,4,3,Quan 11,NhaO,16.945
245.8,5,4,Quan 10,NhaO,48.076
114.1,2,1,Hoc Mon,CanHo,2.314
112.0,3,2,Binh Chanh,CanHo,2.948
103.2,3,1,Quan 12,NhaO,5.886
125.6,1,1,Tan Phu,CanHo,5.167
85.3,2,2,Thu Duc,CanHo,4.272
133.5,5,5,Binh Tan,NhaO,11.351
58.9,4,3,Phu Nhuan,CanHo,5.434
191.8,4,2,Quan 6,NhaO,30.991
55.0,3,3,Thu Duc,CanHo,2.928
102.0,1,1,Quan 6,CanHo,5.412
221.7,4,3,Quan 8,NhaO,24.572
168.3,2,2,Quan 11,NhaO,26.687
172.2,4,3,Quan 1,NhaO,47.572
100.3,3,2,Nha Be,CanHo,3.505
222.3,4,3,Quan 10,NhaO,41.114
82.5,6,6,Binh Chanh,NhaO,4.447
68.7,1,1,Quan 6,CanHo,3.714
92.6,6,6,Nha Be,NhaO,6.577
157.8,6,6,Quan 11,NhaO,28.091
80.5,3,1,Tan Phu,NhaO,7.376
132.9,2,2,Tan Phu,CanHo,5.372
124.6,4,4,Binh Tan,CanHo,4.798
77.4,1,1,Phu Nhuan,CanHo,7.418
69.1,2,2,Binh Tan,CanHo,2.625
280.3,5,5,Tan Binh,NhaO,42.306
138.8,3,2,Phu Nhuan,CanHo,13.879
75.0,2,2,Thu Duc,CanHo,3.901
108.1,2,1,Nha Be,CanHo,3.695
89.0,5,5,Quan 12,NhaO,6.354
37.4,1,1,Quan 4,CanHo,2.743
80.8,3,2,Binh Tan,CanHo,3.157
236.5,4,2,Binh Chanh,NhaO,11.465
274.6,5,3,Quan 1,NhaO,82.932
50.6,3,3,Quan 10,CanHo,4.521
205.1,3,1,Binh Tan,NhaO,12.915
107.5,2,2,Quan 8,CanHo,6.17
142.9,3,1,Binh Tan,NhaO,8.617
156.7,5,3,Binh Tan,NhaO,10.603
108.2,2,2,Tan Phu,CanHo,5.069
130.1,2,1,Quan 7,CanHo,9.344
64.3,6,5,Quan 8,NhaO,7.74
36.7,1,1,Quan 4,CanHo,2.55
140.1,5,3,Nha Be,NhaO,9.809
205.8,4,3,Binh Tan,NhaO,13.586
90.0,3,2,Nha Be,CanHo,2.687
70.3,3,2,Go Vap,CanHo,3.364
290.3,4,3,Quan 4,NhaO,53.265
73.8,4,4,Hoc Mon,CanHo,2.146
85.1,4,3,Thu Duc,CanHo,4.565
103.8,1,1,Quan 10,CanHo,6.802
68.0,4,3,Quan 1,CanHo,8.907
121.9,3,3,Tan Phu,CanHo,5.673
128.3,6,5,Quan 8,NhaO,18.615
75.8,2,1,Go Vap,CanHo,3.427
269.5,4,3,Thu Duc,NhaO,22.614
84.2,4,4,Thu Duc,CanHo,4.455
53.9,2,1,Quan 11,CanHo,3.814
160.1,6,4,Quan 10,NhaO,30.724
104.2,2,1,Quan 5,CanHo,8.235
42.3,4,4,Quan 10,CanHo,3.891
182.4,6,6,Quan 12,NhaO,12.84
59.2,3,1,Quan 1,NhaO,15.479
144.6,4,3,Quan 1,NhaO,43.314
149.8,2,1,Quan 5,NhaO,30.665
78.0,3,2,Quan 3,NhaO,19.87
119.3,1,1,Binh Chanh,CanHo,2.68
56.8,3,3,Quan 3,CanHo,5.207
143.0,3,3,Quan 6,NhaO,22.742
160.4,3,3,Go Vap,NhaO,15.525
226.7,6,4,Binh Thanh,NhaO,35.853
94.3,4,2,Binh Chanh,NhaO,5.486
42.1,6,4,Tan Phu,NhaO,3.893
199.0,2,1,Tan Binh,NhaO,24.957
33.1,2,2,Binh Chanh,CanHo,0.765
157.5,6,5,Quan 8,NhaO,19.701
78.3,2,1,Quan 12,NhaO,4.343
108.1,2,1,Binh Tan,CanHo,4.138
33.9,1,1,Quan 11,CanHo,1.908
48.2,3,3,Quan 11,NhaO,7.172
63.7,1,1,Quan 11,CanHo,3.948
93.6,2,2,Quan 1,CanHo,11.578
80.8,2,1,Quan 3,CanHo,7.658
34.9,1,1,Quan 6,CanHo,1.938
103.1,1,1,Nha Be,CanHo,3.099
62.1,1,1,Phu Nhuan,CanHo,5.265
114.8,3,3,Go Vap,CanHo,6.211
98.3,3,1,Thu Duc,NhaO,8.028
73.0,3,3,Tan Binh,CanHo,5.063
62.1,6,4,Quan 7,NhaO,10.646
81.6,2,2,Tan Phu,CanHo,3.547
37.6,2,1,Tan Phu,CanHo,1.531
110.2,4,3,Quan 11,CanHo,8.859
83.7,2,1,Quan 11,CanHo,4.955
41.0,2,2,Quan 12,CanHo,1.578
80.2,3,3,Tan Binh,CanHo,5.178
189.7,4,4,Thu Duc,NhaO,18.592
132.1,1,1,Quan 11,CanHo,9.214
107.1,2,2,Nha Be,CanHo,3.013
60.7,4,4,Quan 3,CanHo,6.504
61.0,3,2,Binh Tan,CanHo,2.5
97.2,2,1,Phu Nhuan,NhaO,17.387
125.6,1,1,Quan 6,CanHo,7.139
41.6,2,2,Quan 4,CanHo,3.195
130.8,5,3,Binh Thanh,NhaO,18.895
197.9,4,2,Phu Nhuan,NhaO,44.661
174.1,3,2,Binh Thanh,NhaO,24.22
37.0,3,2,Quan 1,CanHo,4.332
96.3,2,2,Quan 3,CanHo,10.137
171.5,6,6,Quan 1,NhaO,68.099
260.6,4,3,Binh Thanh,NhaO,38.925
190.3,4,3,Tan Binh,NhaO,26.107
124.4,3,2,Binh Tan,CanHo,4.861
278.8,3,3,Quan 4,NhaO,52.287
84.1,3,3,Quan 8,CanHo,4.88
87.4,4,4,Binh Thanh,CanHo,8.352
192.9,2,1,Tan Phu,NhaO,17.207
97.8,1,1,Quan 1,CanHo,11.259
63.8,2,1,Go Vap,CanHo,2.823
80.2,3,3,Quan 7,CanHo,5.672
74.3,2,1,Quan 7,CanHo,5.304
42.4,2,1,Nha Be,CanHo,1.46
81.2,2,2,Quan 3,CanHo,7.679
137.9,2,2,Quan 5,CanHo,12.394
188.9,3,3,Nha Be,NhaO,11.861
136.0,1,1,Tan Phu,CanHo,5.831
107.7,2,2,Quan 4,CanHo,8.129
57.9,4,4,Binh Chanh,NhaO,3.16
117.2,1,1,Phu Nhuan,CanHo,10.689
86.2,5,4,Go Vap,NhaO,8.751
223.3,3,1,Tan Phu,NhaO,17.911
124.7,3,2,Quan 6,CanHo,7.489
40.5,1,1,Quan 3,CanHo,3.333
116.6,5,3,Quan 10,NhaO,25.443
224.7,2,1,Tan Binh,NhaO,24.96
47.6,3,3,Quan 11,CanHo,3.636
85.2,3,2,Quan 7,CanHo,5.839
63.5,3,3,Binh Thanh,CanHo,5.126
130.4,3,2,Quan 11,NhaO,19.342
146.1,3,1,Quan 12,NhaO,9.438
133.3,3,3,Binh Thanh,CanHo,10.528
110.1,1,1,Quan 12,CanHo,3.424
44.8,2,1,Hoc Mon,CanHo,1.065
102.1,2,1,Quan 11,CanHo,6.789
137.9,3,3,Quan 3,CanHo,14.441
65.5,1,1,Hoc Mon,CanHo,1.491
91.7,2,1,Binh Tan,NhaO,5.503
89.3,2,1,Quan 8,CanHo,4.649
42.2,3,2,Quan 6,CanHo,2.608
254.7,3,2,Tan Binh,NhaO,31.23
138.7,4,2,Quan 6,NhaO,19.824
101.4,2,1,Quan 8,CanHo,4.781
163.2,6,5,Quan 5,NhaO,41.164
99.4,4,3,Quan 6,CanHo,6.17
263.0,3,1,Tan Phu,NhaO,23.139
46.3,2,2,Quan 12,CanHo,1.451
150.4,4,2,Tan Binh,NhaO,22.363
43.6,2,1,Quan 8,CanHo,2.41
44.3,2,1,Quan 3,CanHo,4.246
221.6,4,3,Quan 3,NhaO,56.914
77.1,2,2,Go Vap,CanHo,4.056
96.9,2,2,Quan 4,CanHo,6.753
116.5,4,4,Quan 7,CanHo,8.817
93.6,4,3,Quan 11,CanHo,7.593
83.6,1,1,Binh Tan,CanHo,2.856
121.7,5,3,Quan 7,NhaO,15.823
189.6,4,2,Hoc Mon,NhaO,8.832
97.3,1,1,Nha Be,CanHo,2.668
41.9,4,4,Quan 10,CanHo,4.15
81.5,3,3,Binh Tan,CanHo,3.35
47.8,2,1,Quan 4,NhaO,7.203
105.9,3,3,Hoc Mon,NhaO,5.429
43.4,2,2,Binh Tan,CanHo,1.776
130.3,1,1,Quan 12,CanHo,4.693
126.0,3,3,Quan 3,CanHo,14.717
150.6,4,2,Quan 1,NhaO,47.753
95.3,1,1,Quan 11,CanHo,5.589
99.4,2,1,Nha Be,CanHo,2.863
72.4,2,2,Binh Chanh,CanHo,1.893
190.1,4,4,Binh Thanh,NhaO,27.821
190.8,3,1,Quan 12,NhaO,13.244
98.7,1,1,Quan 6,CanHo,6.515
41.1,2,1,Quan 12,CanHo,1.27
33.7,2,1,Quan 6,CanHo,1.866
60.9,3,3,Quan 12,CanHo,2.188
229.6,3,3,Quan 11,NhaO,35.601
56.3,2,2,Binh Thanh,CanHo,4.31
93.3,2,1,Binh Thanh,NhaO,11.673
127.7,3,2,Quan 1,NhaO,38.961
133.7,2,1,Quan 8,CanHo,7.413
180.7,4,2,Nha Be,NhaO,12.559
86.0,4,3,Binh Tan,CanHo,3.194
215.1,6,4,Quan 5,NhaO,52.469
70.7,3,1,Binh Tan,NhaO,4.376
268.6,4,4,Quan 3,NhaO,60.815
135.5,4,4,Thu Duc,CanHo,8.226
83.3,5,3,Quan 5,NhaO,18.052
254.0,3,2,Phu Nhuan,NhaO,49.709
92.1,1,1,Quan 4,CanHo,6.913
85.9,2,2,Thu Duc,CanHo,4.762
123.6,1,1,Binh Thanh,CanHo,8.959
262.0,3,3,Hoc Mon,NhaO,11.845
275.3,3,1,Thu Duc,NhaO,21.88
34.5,3,2,Phu Nhuan,CanHo,3.537
200.5,5,3,Quan 12,NhaO,15.142
82.8,5,4,Quan 10,NhaO,17.258
103.5,2,1,Phu Nhuan,CanHo,8.598
137.4,1,1,Quan 4,CanHo,10.802
125.8,3,2,Phu Nhuan,CanHo,12.601
56.9,4,3,Quan 5,CanHo,5.532
134.3,2,2,Nha Be,CanHo,4.318
40.8,6,4,Quan 11,NhaO,8.269
133.6,3,2,Binh Thanh,CanHo,12.083
80.3,1,1,Quan 6,CanHo,5.304
193.2,3,3,Binh Chanh,NhaO,10.062
297.6,4,4,Binh Chanh,NhaO,16.012
112.0,2,1,Thu Duc,CanHo,5.947
72.2,6,6,Hoc Mon,NhaO,3.462
77.3,1,1,Quan 10,CanHo,5.095
138.5,2,2,Quan 12,CanHo,4.211
111.9,4,4,Quan 10,CanHo,10.003
107.6,2,2,Quan 10,CanHo,7.682
91.2,3,2,Quan 7,CanHo,6.285
115.2,1,1,Thu Duc,CanHo,5.336
61.7,1,1,Tan Binh,CanHo,3.554
42.5,1,1,Quan 5,CanHo,3.21
67.3,2,1,Quan 5,CanHo,6.154
110.9,2,2,Quan 5,CanHo,9.435
135.7,2,1,Quan 6,CanHo,8.143
135.8,1,1,Nha Be,CanHo,4.365
61.2,4,4,Quan 4,CanHo,5.143
74.8,2,2,Thu Duc,CanHo,4.056
125.8,1,1,Quan 3,CanHo,10.265
224.7,4,4,Hoc Mon,NhaO,12.025
84.1,3,2,Tan Phu,CanHo,4.533
106.9,2,1,Quan 11,CanHo,6.127
72.1,3,3,Quan 10,CanHo,5.854
139.1,1,1,Quan 3,CanHo,11.842
34.7,1,1,Hoc Mon,CanHo,0.773
112.2,3,1,Go Vap,NhaO,11.35
128.7,4,3,Quan 5,CanHo,12.331
139.1,3,3,Binh Chanh,CanHo,3.489
164.1,2,1,Quan 10,NhaO,30.978
117.5,5,5,Binh Tan,NhaO,8.735
35.9,2,1,Go Vap,CanHo,1.494
115.1,5,3,Thu Duc,NhaO,11.824
192.2,3,2,Tan Phu,NhaO,16.428
40.8,2,2,Quan 12,CanHo,1.375
141.0,2,1,Quan 10,NhaO,23.564
115.7,1,1,Quan 11,CanHo,7.288
54.6,3,3,Quan 3,CanHo,6.392
180.6,5,3,Quan 10,NhaO,33.206
255.1,2,1,Quan 4,NhaO,42.639
296.9,5,4,Quan 10,NhaO,62.303
119.0,5,5,Quan 3,NhaO,32.993
48.9,4,4,Quan 4,CanHo,4.437
246.5,3,3,Quan 4,NhaO,48.466
79.9,3,2,Binh Thanh,CanHo,6.015
137.3,2,2,Binh Tan,CanHo,5.61
253.8,4,3,Binh Thanh,NhaO,36.225
217.2,2,2,Quan 8,NhaO,25.706
193.8,6,4,Quan 6,NhaO,33.504
180.6,4,2,Binh Tan,NhaO,11.721
122.6,2,1,Quan 5,NhaO,20.719
123.5,1,1,Quan 3,CanHo,10.242
93.2,1,1,Tan Phu,CanHo,3.764
66.8,4,2,Tan Phu,NhaO,6.612
43.6,3,2,Quan 1,NhaO,13.853
195.0,3,1,Quan 12,NhaO,10.953
79.7,2,1,Tan Binh,CanHo,4.496
83.6,2,2,Quan 5,CanHo,7.295
199.0,3,3,Tan Binh,NhaO,25.986
85.7,4,2,Quan 8,NhaO,10.56
104.6,2,2,Quan 7,CanHo,7.19
93.0,5,5,Quan 4,NhaO,20.289
71.7,3,3,Tan Binh,NhaO,10.496
101.5,2,2,Quan 10,CanHo,7.934
79.5,4,2,Tan Phu,NhaO,6.554
47.3,1,1,Binh Tan,CanHo,1.737
54.4,1,1,Hoc Mon,CanHo,1.193
250.6,2,1,Phu Nhuan,NhaO,53.442
88.8,2,2,Quan 1,CanHo,11.807
37.7,1,1,Quan 5,CanHo,2.955
40.6,4,3,Quan 11,NhaO,6.039
105.1,4,3,Hoc Mon,NhaO,5.155
76.3,4,3,Quan 3,CanHo,8.872
65.9,4,3,Binh Thanh,NhaO,10.709
118.9,1,1,Quan 7,CanHo,8.295
57.2,2,1,Quan 11,CanHo,3.71
35.0,1,1,Binh Thanh,CanHo,2.467
240.9,6,4,Quan 11,NhaO,40.274
127.7,5,5,Go Vap,NhaO,13.809
84.0,3,3,Nha Be,CanHo,2.68
127.1,6,5,Binh Thanh,NhaO,21.258
80.1,1,1,Thu Duc,CanHo,3.676
90.0,3,3,Binh Chanh,CanHo,2.222
133.4,2,2,Go Vap,CanHo,6.524
97.0,1,1,Phu Nhuan,CanHo,7.655
32.8,6,5,Tan Binh,NhaO,5.264
82.1,3,2,Go Vap,CanHo,4.515
125.2,4,3,Tan Phu,CanHo,6.498
127.1,2,2,Binh Chanh,CanHo,2.842
47.4,1,1,Thu Duc,CanHo,2.421
54.4,1,1,Binh Chanh,CanHo,1.183
145.1,2,1,Binh Chanh,NhaO,6.719
151.5,3,2,Phu Nhuan,NhaO,35.543
53.5,2,2,Binh Chanh,CanHo,1.187
258.3,6,4,Hoc Mon,NhaO,11.836
44.6,2,2,Hoc Mon,CanHo,0.936
262.8,5,3,Quan 11,NhaO,45.898
115.9,1,1,Thu Duc,CanHo,5.77
96.7,6,5,Quan 7,NhaO,14.361
133.6,2,2,Binh Thanh,CanHo,11.199
220.7,6,4,Tan Binh,NhaO,30.655
58.9,3,3,Quan 8,CanHo,3.135
131.4,2,2,Hoc Mon,CanHo,2.974
63.8,2,1,Go Vap,NhaO,6.151
84.1,2,2,Thu Duc,CanHo,4.05
254.1,5,4,Quan 11,NhaO,45.675
98.2,2,2,Quan 4,CanHo,6.523
117.6,3,3,Binh Tan,CanHo,5.13
45.5,3,3,Binh Thanh,NhaO,6.616
139.0,4,4,Quan 7,CanHo,11.217
102.2,4,4,Tan Binh,CanHo,7.484
222.9,6,6,Thu Duc,NhaO,21.041
122.7,2,2,Quan 6,CanHo,8.208
138.0,3,2,Phu Nhuan,CanHo,14.264
108.0,6,6,Binh Tan,NhaO,9.98
75.4,3,3,Quan 5,CanHo,7.033
111.7,2,2,Binh Tan,CanHo,4.015
192.8,2,1,Quan 11,NhaO,31.605
50.8,6,6,Quan 3,NhaO,14.407
115.8,3,2,Quan 10,CanHo,9.326
116.1,1,1,Quan 10,CanHo,8.514
92.8,2,2,Go Vap,CanHo,4.699
217.7,5,3,Tan Binh,NhaO,35.001
86.2,2,2,Hoc Mon,NhaO,3.291
211.1,4,4,Quan 4,NhaO,35.479
72.7,4,4,Quan 5,CanHo,6.65
82.4,1,1,Quan 12,CanHo,2.643
232.3,3,3,Quan 6,NhaO,32.897
123.7,2,2,Thu Duc,CanHo,5.918
60.9,4,4,Nha Be,NhaO,4.399
66.0,3,2,Quan 12,CanHo,2.152
137.5,2,1,Thu Duc,CanHo,6.625
124.4,1,1,Quan 4,CanHo,7.798
156.2,2,1,Quan 5,NhaO,30.154
38.7,2,2,Quan 6,CanHo,2.648
98.1,4,3,Thu Duc,NhaO,8.128
126.5,3,3,Quan 8,NhaO,14.348
159.6,3,3,Go Vap,NhaO,17.056
89.5,3,2,Nha Be,CanHo,3.336
190.3,2,2,Quan 5,NhaO,33.866
82.8,3,3,Quan 12,CanHo,3.21
103.0,2,1,Quan 1,CanHo,12.986
69.9,4,2,Nha Be,NhaO,4.657
132.0,2,2,Binh Tan,CanHo,4.279
288.9,4,4,Go Vap,NhaO,29.229
161.0,3,3,Binh Thanh,NhaO,23.1
246.6,6,5,Quan 3,NhaO,62.065
81.5,2,2,Quan 6,CanHo,5.249
121.4,2,1,Go Vap,CanHo,5.339
94.0,2,2,Hoc Mon,CanHo,2.155
46.8,2,1,Quan 12,CanHo,1.689
69.9,4,4,Hoc Mon,CanHo,1.69
138.8,4,3,Go Vap,CanHo,6.832
63.9,2,2,Quan 7,CanHo,4.873
67.2,4,4,Quan 7,CanHo,5.155
264.8,3,1,Quan 11,NhaO,41.744
188.2,4,3,Go Vap,NhaO,18.014
79.1,1,1,Quan 11,CanHo,5.499
253.0,3,3,Binh Tan,NhaO,17.984
70.2,2,2,Quan 6,CanHo,4.63
98.9,3,2,Quan 8,NhaO,10.194
63.8,6,5,Tan Phu,NhaO,5.919
48.2,2,2,Binh Tan,CanHo,1.993
56.0,1,1,Binh Chanh,CanHo,1.476
282.3,3,3,Nha Be,NhaO,19.166
83.4,1,1,Binh Chanh,CanHo,1.864
120.7,3,2,Nha Be,NhaO,7.556
55.7,3,2,Quan 7,CanHo,4.275
117.8,1,1,Quan 7,CanHo,7.704
188.3,6,6,Go Vap,NhaO,22.191
141.0,3,1,Quan 3,NhaO,36.352
154.8,3,3,Phu Nhuan,NhaO,33.502
83.0,2,1,Binh Tan,CanHo,2.679
234.8,3,2,Tan Phu,NhaO,18.893
134.6,1,1,Tan Phu,CanHo,5.496
64.1,3,2,Quan 12,NhaO,4.58
236.2,4,4,Hoc Mon,NhaO,11.832
67.6,3,2,Binh Tan,CanHo,2.647
216.0,2,1,Quan 10,NhaO,40.799
57.1,4,3,Quan 10,CanHo,4.542
49.9,3,2,Quan 1,CanHo,6.575
230.0,3,2,Quan 12,NhaO,14.939
59.0,4,4,Tan Phu,CanHo,3.375
137.3,3,3,Tan Binh,CanHo,8.268
69.0,4,3,Nha Be,CanHo,2.297
271.9,4,3,Binh Thanh,NhaO,40.247
113.7,3,3,Quan 6,CanHo,7.716
216.4,4,3,Quan 1,NhaO,72.597
76.3,3,3,Hoc Mon,NhaO,3.716
268.4,3,2,Quan 12,NhaO,16.071
76.5,1,1,Phu Nhuan,CanHo,6.987
144.7,3,1,Quan 7,NhaO,19.68
75.7,2,1,Binh Chanh,CanHo,1.695
100.7,4,2,Binh Thanh,NhaO,13.74
92.5,2,2,Quan 1,CanHo,10.949
52.2,2,2,Binh Thanh,CanHo,4.323
197.5,5,5,Quan 5,NhaO,47.572
181.7,3,1,Tan Binh,NhaO,22.993
61.9,5,3,Tan Phu,NhaO,6.063
218.7,2,1,Go Vap,NhaO,21.303
297.8,3,3,Quan 1,NhaO,96.901
97.6,1,1,Tan Binh,CanHo,5.539
61.3,4,3,Tan Phu,CanHo,2.747
139.2,3,2,Quan 5,CanHo,12.63
50.8,6,6,Quan 3,NhaO,14.134
108.1,4,4,Quan 3,CanHo,11.198
266.8,6,4,Quan 3,NhaO,72.172
37.2,1,1,Quan 8,CanHo,1.809
170.3,2,1,Binh Thanh,NhaO,21.604
129.4,3,2,Quan 4,CanHo,10.018
131.0,6,4,Quan 3,NhaO,32.57
